algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,10373,7
MergeSort,random,10000,2,127212,11
MergeSort,random,100000,7,1639343,14
MergeSort,random,1000000,100,20225581,17
MergeSort,sorted,1000,0,3956,7
MergeSort,sorted,10000,0,59248,11
MergeSort,sorted,100000,2,744016,14
MergeSort,sorted,1000000,28,8952320,17
MergeSort,duplicates,1000,0,9682,7
MergeSort,duplicates,10000,0,121712,11
MergeSort,duplicates,100000,5,1563025,14
MergeSort,duplicates,1000000,51,19206009,17
QuickSort,random,1000,0,19579,5
QuickSort,random,10000,1,221858,8
QuickSort,random,100000,10,2853860,9
QuickSort,random,1000000,95,36477808,12
QuickSort,sorted,1000,0,17914,5
QuickSort,sorted,10000,0,227765,8
QuickSort,sorted,100000,4,2997013,9
QuickSort,duplicates,1000,0,5209,2
QuickSort,duplicates,10000,0,71946,2
QuickSort,duplicates,100000,1,589114,2
QuickSort,duplicates,1000000,14,6502618,2
QuickSelect,random,1000,0,5416,0
QuickSelect,random,10000,0,68729,0
QuickSelect,random,100000,1,605881,0
QuickSelect,random,1000000,12,5483188,0
QuickSelect,sorted,1000,0,4717,0
QuickSelect,sorted,10000,0,48491,0
QuickSelect,sorted,100000,0,324568,0
QuickSelect,sorted,1000000,6,3862553,0
QuickSelect,duplicates,1000,0,2279,0
QuickSelect,duplicates,10000,0,57967,0
QuickSelect,duplicates,100000,0,239804,0
QuickSelect,duplicates,1000000,7,5001734,0
